gamingresort,casinocode,departingat,arrivingat,departingairport
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,SAN
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,SJC
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,SEA
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,GEG
SILVER LEGACY RENO NV,TRW,12/09/22,12/13/22,AUS
SILVER LEGACY RENO NV,TRW,12/09/22,12/14/22,BWI
SILVER LEGACY RENO NV,TRW,12/09/22,12/14/22,ORD
SILVER LEGACY RENO NV,TRW,12/09/22,12/14/22,CLE
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,DEN
SILVER LEGACY RENO NV,TRW,12/09/22,12/13/22,IAH
SILVER LEGACY RENO NV,TRW,12/09/22,12/13/22,OMA
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,PHX
SILVER LEGACY RENO NV,TRW,12/10/22,12/14/22,DFW
SILVER LEGACY RENO NV,TRW,12/11/22,12/15/22,IDA
SILVER LEGACY RENO NV,TRW,12/11/22,12/15/22,STS
SILVER LEGACY RENO NV,TRW,12/11/22,12/16/22,BHM
SILVER LEGACY RENO NV,TRW,12/11/22,12/16/22,JFK
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,BOI
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,EUG
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,ONT
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,PSP
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,PSC
SILVER LEGACY RENO NV,TRW,12/12/22,12/16/22,GEG
SILVER LEGACY RENO NV,TRW,12/13/22,12/18/22,BNA
SILVER LEGACY RENO NV,TRW,12/14/22,12/19/22,ATL
SILVER LEGACY RENO NV,TRW,12/14/22,12/19/22,CLT
SILVER LEGACY RENO NV,TRW,12/14/22,12/19/22,ORD
SILVER LEGACY RENO NV,TRW,12/14/22,12/19/22,DTW
